source_file,line_number,printed_page_hint,pdf_page_hint,heading_hint,section_hint,ref_hint,greek_char_count,raw_line,next_review
data/raw/1_enoch_charles_1912_djvu.txt,307,3,120,"Chapters 1-5, 37-104—-Hebrew : 3",front matter and source discussion,,9,TRANSLATION AND βου ὦ AND Bede ericit ΝΟΤΕΞ,Source-status or reception note; do not import as verse text without checking context.
data/raw/1_enoch_charles_1912_djvu.txt,490,3,120,"Chapters 1-5, 37-104—-Hebrew : 3",front matter and source discussion,,19,"1°, Enoch. Jude 14 ἐπροφήτευσεν... ἕβδομος amd’ Addy, Eve",Source-status or reception note; do not import as verse text without checking context.
data/raw/1_enoch_charles_1912_djvu.txt,492,3,120,"Chapters 1-5, 37-104—-Hebrew : 3",front matter and source discussion,,12,Ep. Barn. iv. 3 ὡς ᾿Ενὼχ λέγει. 3,Source-status or reception note; do not import as verse text without checking context.
data/raw/1_enoch_charles_1912_djvu.txt,493,3,120,"Chapters 1-5, 37-104—-Hebrew : 3",front matter and source discussion,,12,"Clem. Alex. Eedog. Proph. (Dindorf, iii. 456) ὁ Δανιὴλ λέγει.",Source-status or reception note; do not import as verse text without checking context.
data/raw/1_enoch_charles_1912_djvu.txt,494,3,120,"Chapters 1-5, 37-104—-Hebrew : 3",front matter and source discussion,,14,"ὁμοδοξῶν τῷ Ἕνώχ : also in iil, 474.",Source-status or reception note; do not import as verse text without checking context.
data/raw/1_enoch_charles_1912_djvu.txt,495,3,120,"Chapters 1-5, 37-104—-Hebrew : 3",front matter and source discussion,,15,"Origen, Ju loannem vi. 25 ὡς ἐν τῷ ’Evayx γέγραπται: Contra”",Source-status or reception note; do not import as verse text without checking context.
data/raw/1_enoch_charles_1912_djvu.txt,496,3,120,"Chapters 1-5, 37-104—-Hebrew : 3",front matter and source discussion,,24,Celsum ν. 54 τῶν ἐν τῷ ᾿Ενὼχ γεγραμμένων. ;,Source-status or reception note; do not import as verse text without checking context.
data/raw/1_enoch_charles_1912_djvu.txt,501,3,120,"Chapters 1-5, 37-104—-Hebrew : 3",front matter and source discussion,,13,᾿Ενὼχ μαθήματα). ;,Source-status or reception note; do not import as verse text without checking context.
data/raw/1_enoch_charles_1912_djvu.txt,513,3,120,"Chapters 1-5, 37-104—-Hebrew : 3",front matter and source discussion,,24,T. Jud. xviii. 1 (8 AS!) ἐν βίβλοις ᾿Ενὼχ τοῦ δικαίου.,Source-status or reception note; do not import as verse text without checking context.
data/raw/1_enoch_charles_1912_djvu.txt,514,3,120,"Chapters 1-5, 37-104—-Hebrew : 3",front matter and source discussion,,28,T. Lev. x. 5 (A) = καθὼς γέγραπται ἐν βίβλοις ᾿Ενώχ.,Source-status or reception note; do not import as verse text without checking context.
data/raw/1_enoch_charles_1912_djvu.txt,524,3,120,"Chapters 1-5, 37-104—-Hebrew : 3",front matter and source discussion,,29,"Origen, Contra Celsum, v.54 τὰ ἐπιγεγραμμένα τοῦ ᾿Ενὼχ βιβλία:",Source-status or reception note; do not import as verse text without checking context.
data/raw/1_enoch_charles_1912_djvu.txt,530,3,120,"Chapters 1-5, 37-104—-Hebrew : 3",front matter and source discussion,,11,"Synecellus (Chronographia, ed. Dind.), i. p. 20 ἐκ τοῦ πρώτου",Source-status or reception note; do not import as verse text without checking context.
